"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","LARGOPLAZO","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","LIQUIDEZ","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL","10139","LIQUIDEZ","RGFMU","AAAw+cAAhAABQKCAAm","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL AHORRO DÓLAR","10125","INSTITUCIO","RGFMU","AAAw+cAAhAABQKFAAd","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL AHORRO DÓLAR","10125","LIQUIDEZ","RGFMU","AAAw+cAAhAABQKFAAd","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL DÓLAR","9843","CLASICA","RGFMU","AAAw+cAAhAABP4WAAz","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL DÓLAR","9843","INSTITUCIO","RGFMU","AAAw+cAAhAABP4WAAz","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL DÓLAR","9843","K","RGFMU","AAAw+cAAhAABP4WAAz","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA GLOBAL DÓLAR","9843","LIQUIDEZ","RGFMU","AAAw+cAAhAABP4WAAz","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","CLASICA","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","D","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","G","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","INSTITUCIO","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","K","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","LARGOPLAZO","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA LARGO PLAZO","9238","LIQUIDEZ","RGFMU","AAAw+cAAhAABP4KAAo","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA MÁS LARGO PLAZO","9934","CLASICA","RGFMU","AAAw+cAAhAABQKBAAE","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA MÁS LARGO PLAZO","9934","INSTITUCIO","RGFMU","AAAw+cAAhAABQKBAAE","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA MÁS LARGO PLAZO","9934","K","RGFMU","AAAw+cAAhAABQKBAAE","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA MÁS LARGO PLAZO","9934","LARGOPLAZO","RGFMU","AAAw+cAAhAABQKBAAE","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA MÁS LARGO PLAZO","9934","LIQUIDEZ","RGFMU","AAAw+cAAhAABQKBAAE","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA PESOS","8029","CLASICA","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA PESOS","8029","E","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA PESOS","8029","INSTITUCIO","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA PESOS","8029","K","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
